product_id,application,type,mounting_location,accessories,model_year
135,indoor,residential,roof,without light,2022-09-29 02:25:33
136,indoor,industrial,roof,with light,2022-07-19 09:00:37
137,indoor,commercial,roof,without light,2023-02-08 20:15:26
138,outdoor,industrial,roof,with light,2023-02-21 15:07:05
139,indoor,industrial,free standing,with light,2022-09-08 01:27:10
140,indoor,industrial,wall,with light,2022-08-20 23:18:43
141,outdoor,industrial,roof,without light,2022-08-06 02:45:20
142,indoor,industrial,roof,with light,2022-09-24 02:18:29
143,indoor,residential,roof,with light,2022-05-24 05:07:05
144,outdoor,residential,roof,without light,2022-04-04 19:20:31
145,indoor,commercial,free standing,without light,2022-09-22 00:01:15
146,indoor,industrial,wall,with light,2022-12-26 03:43:29
147,indoor,commercial,wall,without light,2022-11-25 00:11:11
148,outdoor,industrial,wall,with light,2022-11-16 06:07:28
149,outdoor,industrial,free standing,without light,2023-01-22 19:14:25
150,outdoor,commercial,roof,with light,2022-06-22 08:45:30
151,indoor,industrial,free standing,with light,2022-12-27 08:52:16
152,outdoor,industrial,free standing,without light,2022-09-22 19:54:23
153,outdoor,residential,roof,without light,2022-05-04 17:18:39
154,indoor,commercial,wall,with light,2022-09-16 12:14:46
155,indoor,residential,free standing,without light,2023-01-06 14:41:41
156,indoor,residential,roof,without light,2022-09-17 03:36:18
157,outdoor,industrial,roof,without light,2023-01-16 01:40:18
158,outdoor,industrial,roof,without light,2022-04-11 06:58:55
159,indoor,commercial,wall,without light,2023-02-03 15:11:55
160,indoor,industrial,free standing,with light,2022-11-18 05:16:51
161,indoor,industrial,roof,with light,2022-10-13 07:54:29
162,outdoor,commercial,wall,without light,2022-03-20 10:28:23
163,indoor,commercial,free standing,without light,2023-01-20 04:03:26
164,outdoor,industrial,roof,with light,2022-11-21 07:43:44
165,indoor,residential,free standing,without light,2022-10-25 21:28:58
166,outdoor,commercial,wall,without light,2022-10-14 21:50:10
167,outdoor,industrial,roof,without light,2022-03-24 01:52:46
168,outdoor,industrial,free standing,with light,2022-12-26 11:43:06
169,outdoor,industrial,free standing,with light,2023-01-10 10:59:28
170,outdoor,industrial,free standing,with light,2022-09-23 08:36:03
171,outdoor,industrial,wall,with light,2023-01-11 04:15:34
172,outdoor,industrial,roof,with light,2022-09-10 12:03:13
173,indoor,industrial,wall,with light,2023-01-08 00:11:35
174,outdoor,industrial,free standing,without light,2022-10-06 06:28:23
175,outdoor,residential,wall,with light,2023-02-25 20:46:20
176,outdoor,residential,roof,without light,2022-12-23 10:18:56
177,indoor,commercial,wall,without light,2022-08-18 17:21:36
178,outdoor,industrial,wall,without light,2022-10-13 04:46:33
179,outdoor,industrial,roof,without light,2023-02-10 23:04:43
180,indoor,residential,roof,without light,2023-01-22 13:18:43
181,indoor,industrial,wall,with light,2022-03-19 16:21:22
182,outdoor,commercial,free standing,without light,2022-06-26 13:47:08
183,outdoor,commercial,wall,without light,2023-02-13 12:39:39
184,indoor,residential,roof,without light,2023-02-26 18:38:14
185,indoor,residential,free standing,without light,2022-06-05 22:48:15
186,outdoor,industrial,roof,with light,2022-10-20 22:35:11
187,outdoor,commercial,wall,with light,2022-07-05 13:53:19
188,indoor,commercial,wall,with light,2022-05-04 00:58:51
189,indoor,commercial,roof,without light,2022-06-01 14:55:26
190,outdoor,residential,free standing,without light,2023-01-02 05:17:24
191,outdoor,commercial,wall,with light,2022-05-02 14:20:12
192,outdoor,industrial,free standing,without light,2022-05-16 23:21:06
193,indoor,industrial,free standing,without light,2022-12-03 19:47:43
194,indoor,commercial,wall,without light,2022-05-06 15:18:38
195,indoor,residential,wall,without light,2022-10-03 18:05:30
196,indoor,residential,roof,without light,2023-01-29 22:14:00
197,indoor,industrial,wall,without light,2022-12-20 03:19:52
198,indoor,residential,roof,with light,2022-07-22 23:37:06
199,indoor,commercial,roof,with light,2022-10-26 09:11:44
200,indoor,residential,roof,without light,2022-08-04 02:23:23
201,outdoor,residential,roof,without light,2022-10-14 14:55:36
202,outdoor,industrial,roof,without light,2023-01-13 01:04:56
203,outdoor,industrial,roof,with light,2022-05-02 09:49:43
204,outdoor,industrial,roof,without light,2022-08-04 20:30:20
205,indoor,residential,wall,with light,2022-08-30 05:27:42
206,indoor,industrial,wall,without light,2022-07-17 16:55:52
207,outdoor,commercial,roof,with light,2022-12-09 17:00:55
208,outdoor,commercial,free standing,with light,2022-09-23 13:39:43
209,indoor,industrial,wall,without light,2022-08-22 04:05:42
210,indoor,commercial,wall,with light,2022-06-04 18:38:31
211,indoor,residential,wall,with light,2022-06-01 06:17:47
212,indoor,commercial,free standing,without light,2022-05-04 05:50:36
213,outdoor,commercial,roof,with light,2022-11-30 22:18:26
214,indoor,residential,roof,without light,2022-05-14 02:29:22
215,indoor,industrial,free standing,with light,2023-01-02 19:18:37
216,indoor,commercial,wall,with light,2022-06-07 02:21:45
217,outdoor,residential,free standing,with light,2022-11-24 02:56:58
218,outdoor,commercial,free standing,with light,2023-02-25 07:37:41
219,outdoor,industrial,wall,with light,2022-04-23 21:14:12
220,outdoor,commercial,free standing,without light,2022-06-10 07:54:42
221,indoor,commercial,wall,without light,2022-11-18 21:52:14
222,indoor,commercial,roof,with light,2022-05-05 02:25:45
223,outdoor,industrial,free standing,with light,2023-01-22 18:27:15
224,outdoor,residential,roof,with light,2022-03-22 02:16:12
225,indoor,commercial,wall,with light,2023-01-26 16:30:27
226,indoor,residential,free standing,without light,2022-05-23 23:00:15
227,indoor,industrial,wall,without light,2022-07-15 13:51:54
228,indoor,industrial,roof,with light,2022-09-27 12:15:52
229,indoor,residential,wall,with light,2022-11-24 18:32:23
230,outdoor,commercial,free standing,with light,2022-09-20 17:52:28
231,outdoor,commercial,wall,with light,2022-07-31 12:17:26
232,indoor,industrial,free standing,without light,2022-11-05 20:29:41
233,outdoor,commercial,wall,without light,2023-02-05 02:05:05
234,indoor,commercial,free standing,without light,2022-11-15 11:56:02
235,outdoor,industrial,wall,without light,2023-02-11 08:01:45
236,outdoor,residential,roof,without light,2022-11-26 14:02:39
237,outdoor,industrial,free standing,without light,2022-05-10 20:48:36
238,indoor,commercial,wall,without light,2022-11-30 07:37:14
239,indoor,commercial,free standing,without light,2023-01-09 13:14:38
240,indoor,commercial,roof,without light,2022-11-02 12:55:39
241,indoor,industrial,free standing,with light,2022-06-27 12:28:49
242,indoor,residential,free standing,with light,2022-11-10 15:03:54
243,outdoor,commercial,free standing,without light,2022-06-18 11:18:49
244,outdoor,residential,wall,without light,2022-04-27 09:45:55
245,indoor,commercial,roof,with light,2022-04-10 14:08:13
246,outdoor,residential,roof,with light,2022-10-08 23:17:29
247,indoor,industrial,roof,without light,2022-07-19 07:22:09
248,indoor,residential,free standing,with light,2022-07-01 01:45:56
249,indoor,residential,wall,without light,2022-12-02 03:30:38
250,indoor,industrial,roof,with light,2022-07-08 22:52:28
251,indoor,industrial,roof,with light,2022-08-05 22:51:25
252,indoor,industrial,wall,without light,2022-11-13 06:08:54
253,indoor,commercial,wall,with light,2022-06-20 08:43:21
254,indoor,residential,wall,with light,2022-10-02 17:28:38
255,indoor,commercial,roof,with light,2022-09-05 23:04:10
256,indoor,industrial,roof,without light,2023-02-22 19:31:39
257,indoor,residential,free standing,without light,2023-01-10 21:47:20
258,outdoor,residential,wall,with light,2023-01-14 22:52:21
259,indoor,residential,roof,without light,2022-06-09 09:10:53
260,outdoor,residential,free standing,without light,2022-10-04 04:47:20
261,outdoor,residential,wall,with light,2022-07-26 20:22:03
262,indoor,commercial,free standing,with light,2022-03-30 23:15:07
263,outdoor,commercial,roof,without light,2022-04-19 12:25:43
264,indoor,industrial,wall,with light,2022-08-25 16:52:00
265,outdoor,commercial,free standing,with light,2022-04-20 07:46:54
266,outdoor,residential,free standing,with light,2022-10-20 10:23:08
267,outdoor,commercial,wall,without light,2022-03-25 19:01:57
268,indoor,commercial,wall,with light,2022-10-07 19:02:27
269,indoor,industrial,roof,without light,2022-03-30 16:29:54
270,outdoor,commercial,free standing,with light,2022-10-28 16:20:28
271,outdoor,residential,wall,with light,2022-12-09 15:47:31
272,indoor,residential,wall,with light,2023-02-24 11:38:56
273,indoor,residential,free standing,with light,2022-09-08 07:42:31
274,indoor,commercial,wall,with light,2022-06-03 16:57:19
275,indoor,industrial,free standing,without light,2022-11-21 09:14:20
276,indoor,residential,free standing,without light,2022-11-17 13:54:43
277,outdoor,commercial,free standing,without light,2023-01-09 22:03:02
278,outdoor,commercial,wall,without light,2022-07-31 22:57:53
279,outdoor,commercial,free standing,without light,2022-11-11 16:21:53
280,outdoor,industrial,roof,with light,2022-05-04 09:55:05
281,indoor,residential,roof,with light,2022-06-04 12:37:03
282,indoor,industrial,free standing,without light,2022-06-30 01:14:28
283,indoor,residential,wall,without light,2022-11-18 01:43:33
284,indoor,commercial,wall,with light,2022-09-14 04:37:11
285,outdoor,commercial,roof,without light,2023-02-20 23:31:58
286,indoor,residential,wall,with light,2022-04-18 08:12:29
287,indoor,residential,free standing,with light,2022-10-30 16:45:00
288,indoor,industrial,free standing,without light,2023-01-29 12:53:54
289,outdoor,residential,roof,without light,2022-04-20 23:55:08
290,outdoor,commercial,free standing,with light,2022-07-26 15:39:36
291,outdoor,industrial,free standing,without light,2022-05-20 13:37:31
292,indoor,commercial,roof,with light,2022-12-13 03:22:44
293,indoor,industrial,wall,without light,2022-03-20 05:00:55
294,indoor,commercial,roof,without light,2022-11-16 17:04:18
295,outdoor,industrial,free standing,without light,2022-12-13 01:20:49
296,indoor,commercial,wall,without light,2023-03-09 04:20:06
297,outdoor,residential,wall,with light,2022-06-18 12:57:36
298,outdoor,residential,free standing,without light,2022-04-12 12:06:12
299,outdoor,industrial,roof,without light,2022-11-23 03:22:31
300,indoor,commercial,roof,with light,2022-10-19 17:58:34
301,indoor,industrial,roof,with light,2023-01-26 14:20:17
302,outdoor,industrial,wall,with light,2022-08-24 21:33:02
303,indoor,industrial,roof,with light,2023-01-02 05:15:57
304,outdoor,residential,roof,without light,2023-01-14 08:50:31
305,indoor,residential,roof,without light,2022-11-18 22:43:32
306,indoor,industrial,free standing,without light,2022-06-20 10:38:03
307,outdoor,industrial,roof,without light,2023-02-10 00:50:48
308,indoor,commercial,free standing,with light,2022-06-18 11:54:56
309,indoor,industrial,wall,without light,2022-12-28 18:16:58
310,outdoor,industrial,free standing,without light,2023-03-17 11:29:18
311,outdoor,industrial,roof,with light,2022-07-21 00:01:24
312,outdoor,industrial,wall,without light,2022-08-15 00:44:20
313,indoor,industrial,roof,with light,2023-03-17 05:45:38
314,outdoor,industrial,free standing,without light,2022-10-25 09:28:32
315,indoor,commercial,roof,without light,2022-08-13 15:10:27
316,indoor,commercial,free standing,with light,2023-01-06 04:48:37
317,outdoor,commercial,wall,without light,2022-12-27 11:04:10
318,indoor,industrial,free standing,with light,2022-11-11 20:19:24
319,outdoor,commercial,wall,without light,2022-06-24 10:08:54
320,indoor,commercial,free standing,with light,2022-07-23 12:28:49
321,indoor,industrial,free standing,with light,2022-09-10 12:24:16
322,outdoor,commercial,wall,with light,2022-04-22 05:08:25
323,indoor,commercial,roof,without light,2023-03-08 21:24:11
324,outdoor,industrial,wall,without light,2022-08-12 18:35:12
325,indoor,industrial,roof,without light,2022-06-07 00:39:18
326,indoor,industrial,wall,with light,2022-11-30 07:00:41
327,outdoor,residential,free standing,with light,2022-10-23 09:10:39
328,outdoor,residential,free standing,with light,2022-05-07 19:07:44
329,outdoor,commercial,wall,without light,2022-08-08 01:18:56
330,indoor,commercial,roof,with light,2022-07-05 17:35:10
331,outdoor,residential,free standing,with light,2023-02-28 10:02:33
332,outdoor,commercial,wall,with light,2022-09-04 21:43:08
333,outdoor,residential,roof,without light,2023-01-14 23:01:41
334,indoor,residential,free standing,without light,2023-03-18 11:38:45
335,outdoor,commercial,roof,without light,2022-09-11 00:29:42
336,outdoor,commercial,free standing,without light,2022-12-15 02:16:40
337,outdoor,industrial,wall,without light,2022-04-13 17:05:24
338,outdoor,industrial,wall,with light,2023-03-15 14:09:28
339,indoor,industrial,free standing,without light,2022-08-09 06:33:10
340,outdoor,residential,roof,with light,2022-05-19 22:51:02
341,outdoor,industrial,free standing,with light,2022-10-16 16:13:07
342,outdoor,industrial,roof,without light,2022-12-30 18:16:49
343,indoor,residential,wall,without light,2022-12-26 07:25:12
344,outdoor,residential,roof,without light,2022-08-19 16:35:06
345,outdoor,commercial,free standing,without light,2022-12-08 14:31:19
346,outdoor,industrial,wall,with light,2022-07-13 23:33:36
347,indoor,commercial,free standing,without light,2022-05-01 18:28:40
348,outdoor,industrial,wall,with light,2022-12-30 20:50:40
349,outdoor,industrial,roof,without light,2022-10-12 20:11:14
350,indoor,residential,free standing,with light,2022-10-31 09:53:45
351,indoor,residential,roof,with light,2022-06-18 03:14:14
352,outdoor,residential,wall,with light,2022-04-03 15:39:55
353,indoor,residential,free standing,without light,2023-01-22 11:54:31
354,indoor,residential,roof,with light,2022-03-22 06:31:25
355,outdoor,commercial,roof,with light,2022-03-31 15:52:00
356,outdoor,commercial,free standing,without light,2022-09-23 11:40:36
357,indoor,residential,free standing,without light,2022-09-18 18:51:49
358,outdoor,commercial,wall,without light,2022-08-05 07:36:01
359,indoor,residential,roof,without light,2022-11-04 11:41:35
360,indoor,residential,free standing,without light,2023-01-20 05:23:45
361,outdoor,commercial,roof,without light,2022-04-21 17:05:00
362,outdoor,residential,free standing,with light,2022-12-17 10:52:18
363,outdoor,commercial,wall,with light,2022-12-21 03:05:37
364,outdoor,industrial,roof,without light,2023-02-18 17:11:12
365,outdoor,residential,wall,with light,2022-06-10 15:29:54
366,indoor,residential,roof,without light,2022-03-22 04:06:52
367,outdoor,commercial,roof,with light,2022-11-20 23:32:57
368,outdoor,residential,free standing,with light,2022-08-12 16:26:31
369,outdoor,residential,free standing,without light,2022-05-28 19:31:38
370,indoor,industrial,roof,without light,2023-01-30 02:31:39
371,indoor,industrial,roof,with light,2022-04-01 11:25:28
372,indoor,industrial,free standing,without light,2022-10-26 18:25:27
373,outdoor,commercial,wall,with light,2023-03-07 08:48:45
374,outdoor,residential,roof,with light,2022-10-13 04:12:33
375,indoor,residential,wall,with light,2022-04-05 03:23:12
376,outdoor,commercial,wall,with light,2022-06-20 03:47:55
377,indoor,commercial,free standing,with light,2023-01-23 14:31:09
378,outdoor,commercial,free standing,without light,2022-06-27 04:14:10
379,outdoor,industrial,roof,with light,2022-04-04 11:54:52
380,indoor,industrial,roof,without light,2022-09-08 11:10:17
381,outdoor,commercial,free standing,without light,2022-11-19 03:20:22
382,indoor,commercial,wall,with light,2022-08-06 13:30:57
383,outdoor,residential,wall,with light,2023-02-15 06:57:36
384,indoor,industrial,roof,with light,2022-05-12 13:01:34
385,indoor,industrial,free standing,without light,2022-11-10 23:51:29
386,indoor,residential,wall,without light,2023-01-25 06:23:00
387,indoor,residential,wall,without light,2023-02-23 08:25:16
388,outdoor,commercial,free standing,without light,2022-11-28 23:45:27
389,outdoor,commercial,free standing,with light,2023-01-29 20:59:16
390,indoor,commercial,wall,without light,2023-01-27 04:00:13
391,outdoor,commercial,free standing,without light,2022-12-17 14:54:38
392,outdoor,residential,wall,with light,2022-05-31 16:46:18
393,indoor,commercial,wall,with light,2022-09-11 06:07:29
394,outdoor,residential,roof,with light,2022-09-04 18:45:22
395,indoor,residential,free standing,with light,2022-06-07 18:00:20
396,indoor,commercial,wall,without light,2023-01-02 03:22:31
397,outdoor,commercial,free standing,without light,2022-10-24 13:59:26
398,indoor,industrial,wall,without light,2022-08-06 01:43:04
399,outdoor,industrial,wall,without light,2022-06-24 03:36:27
400,outdoor,industrial,free standing,with light,2022-04-02 21:07:15
401,indoor,residential,wall,without light,2022-09-06 20:28:36
402,outdoor,industrial,roof,with light,2022-08-13 23:17:59
403,outdoor,industrial,wall,with light,2022-07-20 21:43:18
404,outdoor,residential,free standing,with light,2022-07-13 20:56:57
405,indoor,residential,free standing,without light,2022-10-30 02:42:45
406,indoor,industrial,free standing,with light,2022-11-29 13:17:14
407,indoor,commercial,roof,with light,2022-09-21 13:14:19
408,indoor,commercial,free standing,with light,2022-10-26 10:29:53
409,outdoor,residential,wall,with light,2022-07-04 13:01:10
410,indoor,residential,roof,with light,2022-11-01 03:05:05
411,outdoor,industrial,wall,with light,2022-11-08 07:32:22
412,indoor,commercial,wall,without light,2022-08-03 06:08:52
413,indoor,residential,roof,with light,2022-04-17 11:21:43
414,indoor,commercial,free standing,with light,2022-08-09 14:32:45
415,indoor,commercial,free standing,with light,2023-02-08 01:12:04
416,outdoor,commercial,free standing,with light,2022-07-12 22:05:16
417,outdoor,industrial,wall,with light,2022-11-02 23:51:19
418,indoor,residential,free standing,without light,2023-03-04 15:07:54
419,indoor,industrial,free standing,with light,2023-02-05 21:02:37
420,outdoor,residential,wall,without light,2023-03-13 06:44:36
421,outdoor,residential,free standing,without light,2022-12-04 01:09:05
422,outdoor,industrial,free standing,with light,2022-03-30 09:40:24
423,outdoor,industrial,roof,without light,2022-10-31 13:49:18
424,outdoor,residential,wall,with light,2023-01-23 18:38:44
425,outdoor,industrial,roof,with light,2022-10-13 15:15:59
426,outdoor,residential,roof,without light,2022-07-31 18:04:26
427,indoor,commercial,roof,with light,2022-04-20 06:00:13
428,outdoor,commercial,free standing,with light,2022-04-27 01:20:44
429,outdoor,residential,roof,without light,2022-07-24 16:53:10
430,outdoor,industrial,free standing,without light,2022-11-08 18:26:29
431,indoor,residential,roof,with light,2022-09-16 17:44:07
432,outdoor,residential,wall,with light,2022-12-10 11:03:32
433,indoor,commercial,free standing,with light,2022-10-04 12:47:30
434,indoor,commercial,free standing,with light,2022-12-27 23:40:02
435,outdoor,commercial,wall,with light,2023-03-14 03:57:34
436,outdoor,commercial,free standing,with light,2022-09-30 02:11:17
437,outdoor,commercial,roof,with light,2022-06-24 05:17:49
438,outdoor,residential,wall,without light,2022-04-03 04:27:12
439,indoor,residential,free standing,with light,2022-08-20 13:13:48
440,outdoor,commercial,roof,without light,2022-05-13 06:37:35
441,indoor,commercial,free standing,without light,2022-12-30 05:33:02
442,outdoor,commercial,free standing,with light,2022-10-31 11:21:35
443,indoor,commercial,wall,without light,2022-09-27 11:49:16
444,outdoor,industrial,wall,without light,2022-08-04 17:04:28
445,indoor,residential,free standing,without light,2022-03-29 05:26:46
446,outdoor,industrial,wall,with light,2022-05-29 19:43:14
447,indoor,residential,wall,with light,2022-04-10 23:25:12
448,outdoor,industrial,roof,without light,2022-10-23 00:02:25
449,indoor,commercial,roof,with light,2022-03-22 10:34:19
450,indoor,residential,free standing,without light,2023-02-24 10:50:28
451,outdoor,commercial,wall,without light,2023-01-18 12:40:49
452,outdoor,commercial,free standing,without light,2022-07-09 05:03:59
453,indoor,residential,free standing,with light,2022-06-29 12:31:48
454,outdoor,residential,wall,with light,2022-11-06 09:36:56
455,indoor,commercial,wall,with light,2022-09-04 08:07:20
456,outdoor,residential,free standing,with light,2022-09-20 19:57:25
457,outdoor,industrial,roof,with light,2023-03-07 20:54:58
458,outdoor,industrial,free standing,with light,2022-07-23 22:12:10
459,indoor,industrial,free standing,without light,2022-08-15 17:24:52
460,outdoor,commercial,wall,with light,2022-08-08 15:43:22
461,indoor,residential,roof,without light,2022-08-29 12:20:32
462,outdoor,industrial,free standing,with light,2022-09-01 11:38:12
463,indoor,residential,free standing,with light,2022-08-11 06:41:30
464,outdoor,commercial,wall,with light,2022-07-02 04:33:18
465,outdoor,industrial,wall,with light,2022-09-19 11:27:23
466,indoor,commercial,wall,without light,2022-09-10 00:37:59
467,outdoor,residential,wall,with light,2022-08-31 17:14:01
468,outdoor,residential,free standing,without light,2022-07-08 21:18:20
469,outdoor,commercial,wall,without light,2022-05-08 08:35:28
470,indoor,residential,roof,with light,2023-01-04 09:25:36
471,indoor,commercial,free standing,with light,2022-03-22 14:06:05
472,outdoor,residential,wall,with light,2022-07-27 22:19:03
473,outdoor,industrial,wall,without light,2022-09-10 06:18:17
